country,allocKey,iso3,admin1,admin2,year,value
Ethiopia,9732625,ETH,Addis Ababa,Addis Ababa Zone2,2005,3.6
Ethiopia,9722627,ETH,Addis Ababa,Addis Ababa Zone3,2005,1247.8
Ethiopia,9732626,ETH,Addis Ababa,Addis Ababa Zone3,2005,190.3
Ethiopia,9732627,ETH,Addis Ababa,Addis Ababa Zone3,2005,1519.8
Ethiopia,9722625,ETH,Addis Ababa,Addis Ababa Zone5,2005,0.0
Ethiopia,9742626,ETH,Addis Ababa,Addis Ababa Zone6,2005,275.5
Ethiopia,9392653,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9392654,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9392655,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9402652,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9402653,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9402654,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9402655,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9412652,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9412655,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9412656,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9412657,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9412658,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9412659,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9422652,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9422655,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9422656,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9422657,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9422658,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9422659,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9432656,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9432657,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9432658,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9432659,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9442652,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9442651,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9442657,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9442659,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9452658,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9452659,ETH,Afar,Afar Zone 1,2005,0.0
Ethiopia,9062642,ETH,Afar,Afar Zone 2,2005,0.0
Ethiopia,9262638,ETH,Afar,Afar Zone 2,2005,0.0
Ethiopia,9532646,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9582647,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9582648,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9592648,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9592647,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9602647,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9602646,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9612646,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9612647,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9642639,ETH,Afar,Afar Zone 3,2005,16.5
Ethiopia,9642644,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9652643,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9652644,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9662643,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9672639,ETH,Afar,Afar Zone 3,2005,10.5
Ethiopia,9672642,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9672643,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9672644,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9682642,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9682643,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9682644,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9692641,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9692642,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9692643,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9702640,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9702641,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9702642,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9712640,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9712641,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9712642,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9712643,ETH,Afar,Afar Zone 3,2005,0.0
Ethiopia,9532645,ETH,Afar,Afar Zone 5,2005,0.0
Ethiopia,9542645,ETH,Afar,Afar Zone 5,2005,0.0
Ethiopia,9642643,ETH,Afar,Afar Zone 5,2005,0.0
Ethiopia,9442600,ETH,Amhara,Awi,2005,0.0
Ethiopia,9442601,ETH,Amhara,Awi,2005,0.0
Ethiopia,9442602,ETH,Amhara,Awi,2005,14.7
Ethiopia,9452599,ETH,Amhara,Awi,2005,0.0
Ethiopia,9452600,ETH,Amhara,Awi,2005,0.0
